species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_std,bill_depth_mm_std,flipper_length_mm_std,body_mass_g_std,kmeans_auto,kmeans_k3,gmm_auto,gmm_k3,agg_auto,agg_k3,dbscan_best
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,-0.8844987420334891,0.7854492273303164,-1.4183466493394512,-0.5641420770995512,0,2,2,2,0,0,0
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,-0.8111257337803929,0.1261878973868395,-1.0622502214477376,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,-0.6643797172742005,0.4304623573607525,-0.4212766512426535,-1.1885323371903167,0,2,2,2,0,0,0
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,-1.3247367915520676,1.0897236873042295,-0.5637152223993389,-0.9387762331540104,0,2,2,2,0,0,0
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,-0.8478122379069417,1.7489850172477064,-0.777373079134367,-0.6890201291177043,0,2,2,2,0,0,0
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,-0.9211852461600378,0.3290375373694488,-1.4183466493394512,-0.7202396421222426,0,2,2,2,0,0,0
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,-0.8661554899702147,1.241860917291186,-0.4212766512426535,0.590979904068365,0,2,2,2,0,0,-1
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,-1.8016613451971948,0.4811747673564053,-0.5637152223993389,-0.9075567201494722,0,2,2,2,0,0,0
Adelie,Torgersen,42.0,20.2,190.0,4250.0,,-0.3525444321985401,1.546135377265097,-0.777373079134367,0.0602481829912142,0,0,2,2,0,0,-1
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,-1.1229610188560537,-0.025949332600115,-1.0622502214477376,-1.12609331118124,0,2,2,2,0,0,0
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,-1.1229610188560537,0.0754754873911886,-1.489565934917794,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,-0.5176337007680069,0.2276127173781451,-1.3471273637611083,-1.2509713631993933,0,2,2,2,0,0,0
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,-0.9762150023498596,2.053259477221617,-0.7061537935560243,-0.5017030510904746,0,2,2,2,0,0,-1
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,-1.7099450848808242,2.0025470672259664,-0.2076187945076255,0.2475652610184439,0,2,2,2,0,0,-1
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,-1.343080043615342,0.3290375373694488,-1.1334695070260803,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,-0.9578717502865852,0.937586457317273,-0.4212766512426535,-0.9387762331540104,0,2,2,2,0,0,0
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,-0.2608281718821695,1.7996974272433572,-0.2788380800859682,0.372443313036597,0,0,2,2,0,0,-1
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE,-1.746631589007373,0.63331199734336,-1.204688792604423,-1.0948737981767018,0,2,2,2,0,0,0
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE,0.3811856503324245,2.205396707208574,-0.4924959368209963,-0.0021908430178622,0,0,2,2,0,0,-1
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,-1.1229610188560537,0.582599587347709,-1.91688164838785,-1.0012152591630872,0,2,2,2,0,0,0
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,-1.1413042709193264,0.7854492273303164,-1.489565934917794,-0.7514591551267809,0,2,2,2,0,0,0
